,Reviewer 1,,File path / Url path,,New location,,blocked?,Comments/matters,Does the content fit the purpose of the category or needs improvement,Who can own? Support/PSAs/DX,Suggest missing content,Are there any gaps in this new structure?
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/custom-handlers-javascript,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/event-data,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/event-types,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/instrumentation,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/monitors,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/report-monitor-trigger-events/webhooks,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization,,Other,show:true,alias,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization/oauth2-0,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization/oauth2-0/auth-code-grant,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization/oauth2-0/client-credentials-grant,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization/oauth2-0/refresh-token-grant,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-&-authorization/oauth2-0/username-password-grant,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/basic-auth,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/bearer-tokens,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/ext-oauth-middleware,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/go-plugin-authentication,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/hmac-signatures,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/json-web-tokens,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/json-web-tokens/jwt-auth0,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/json-web-tokens/split-token,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/multiple-auth,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/oauth-2-0,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/open-keyless,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/openid-connect,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/physical-key-expiry,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/authentication-authorization/python-etc-plugin-authentication,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/create-user-groups,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/create-users,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/dashboard-admin-api,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/dashboard-api-security,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/organisations,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/search-users,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/dashboard/user-roles,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,show:true,,,,,,
